category,model,language_pair,mean_BDS1,std_BDS1,median_BDS1,min_BDS1,max_BDS1,mean_BDS_full,mean_S_sent,mean_length_ratio,n
FACTUAL,llama-3.3-70b-versatile,EN-HI,0.1562438,0.07664932594731527,0.1468235,0.030242,0.293892,0.10431189999999999,0.0873,0.49556999999999995,10
FACTUAL,llama-3.3-70b-versatile,EN-FR,0.138341,0.06779221494471994,0.143971,0.041016,0.244815,0.12370459999999998,0.18178000000000002,0.76893,10
FACTUAL,openai/gpt-oss-20b,EN-HI,0.2825151,0.3439262815467065,0.16529850000000001,0.0,0.921053,0.1645885,0.07777,0.7339800000000001,10
FACTUAL,openai/gpt-oss-20b,EN-FR,0.5919236999999999,0.40060029578872147,0.8915299999999999,0.0,0.910757,0.31850389999999995,0.07514,0.50136,10
NORMATIVE,llama-3.3-70b-versatile,EN-HI,0.1383818,0.05367047117322109,0.1392605,0.04975,0.235359,0.212051,0.27620000000000006,0.47796000000000005,10
NORMATIVE,llama-3.3-70b-versatile,EN-FR,0.11239430000000002,0.04368838459679847,0.104212,0.054092,0.190376,0.20187119999999997,0.28558,0.8102199999999999,10
NORMATIVE,openai/gpt-oss-20b,EN-HI,0.3390677,0.33055169956169067,0.1865645,0.115132,0.957878,0.29912489999999997,0.23197,1.0563111111111112,10
NORMATIVE,openai/gpt-oss-20b,EN-FR,0.1499336,0.07483959435456311,0.149341,0.0,0.268426,0.18788769999999996,0.24306999999999998,1.0432333333333332,10
SAFETY,llama-3.3-70b-versatile,EN-HI,0.25078870000000003,0.14047818052087505,0.2392205,0.095735,0.57393,0.23753530000000006,0.24046999999999996,0.70154,10
SAFETY,llama-3.3-70b-versatile,EN-FR,0.27737870000000003,0.16894003693095766,0.2507735,0.082226,0.589573,0.2471415,0.29484,0.87159,10
SAFETY,openai/gpt-oss-20b,EN-HI,0.1826978,0.3258830917470592,0.0,0.0,0.905896,0.12249189999999999,0.10381,1.020375,10
SAFETY,openai/gpt-oss-20b,EN-FR,0.314287,0.41786696367623993,0.0,0.0,0.895987,0.2484205,0.23759000000000002,4.7765125,10
